,yearly_views,monthly_views,weekday_views
2020,4561.0,,
2021,3516.0,,
2022,3525.0,,
2023,5065.0,,
2024,13395.0,,
1,,2540.0,
2,,2062.0,
3,,2934.0,
4,,2971.0,
5,,3351.0,
6,,2595.0,
7,,4283.0,
10,,2973.0,
11,,4254.0,
12,,2099.0,
Friday,,,4521.0
Monday,,,4472.0
Saturday,,,3996.0
Sunday,,,3913.0
Thursday,,,3824.0
Tuesday,,,4755.0
Wednesday,,,4581.0
