category,count,percentage
Russian Content,9926,33.01842858093274
Other,8697,28.930210897478542
Music,5330,17.730024615794026
Sports,2196,7.304903200053222
Gaming,2014,6.699487725367574
Rankings,1550,5.156010910784379
Shorts,1420,4.723571286008915
Entertainment,1133,3.768877652850775
Movies & TV,975,3.2432971858159805
Reviews,963,3.203379681990553
Educational,701,2.331847515135387
Tech,377,1.2540749118488457
News,262,0.871532166855166
Documentary,65,0.216219812387732
